Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
MAC02A,48062.08,10216,Custodian,Metro Action Commission,Fulltime,Service/Maintenance,F,Black,1963,2007-07-02,N,Montgomery,2024,61,60-64,2007,17
OR05,79044.11,10758,Public Health Nurse 1,Health,Fulltime,Professionals,F,White,1976,2007-07-12,N,Williamson,2024,48,45-49,2007,17
OR07,103967.72,10743,Health Manager 2,Health,Fulltime,Professionals,F,White,1976,2007-07-14,Y,Davidson,2024,48,45-49,2007,17
OR01,57263.42,7379,Program Spec 2,State Fair Board,Fulltime,Professionals,M,White,1967,2007-07-15,N,Davidson,2024,57,55-59,2007,17
ST10,72445.0,10836,Engineer Technician Senior,Water Services,Fulltime,Technicians,M,Black,1963,2007-07-23,N,Rutherford,2024,61,60-64,2007,17
OR06,92913.97,7778,Historic Preservationist 2,Historical Commission,Fulltime,Professionals,F,White,1976,2007-07-23,Y,Davidson,2024,48,45-49,2007,17
ST06,47981.41,11041,Office Support Rep Sr,Sheriff,Fulltime,Administrative support,F,Black,1971,2007-07-30,N,Maury,2024,53,50-54,2007,17
ST08,55518.19,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,White,1984,2007-07-30,N,Davidson,2024,40,40-44,2007,17
OR06,74168.57,11321,Sheriff Facility Captain,Sheriff,Fulltime,Protective service workers,M,White,1973,2007-07-30,Y,Robertson,2024,51,50-54,2007,17
ST08,60144.59,7143,Sheriff Case Worker 1,Sheriff,Fulltime,Professionals,M,White,1984,2007-07-30,N,Rutherford,2024,40,40-44,2007,17
RD01,67556.08,7143,Sheriff Case Worker 1,Sheriff,Fulltime,Professionals,F,Black,1982,2007-07-30,N,Rutherford,2024,42,40-44,2007,17
MAC06B,53792.92,10235,Headstart Teacher 1,Metro Action Commission,Fulltime,Professionals,F,Hispanic,1964,2007-07-30,N,Dickson,2024,60,60-64,2007,17
ST07,50910.18,10123,Office Support Spec 1,Sheriff,Fulltime,Administrative support,M,Black,1971,2007-07-30,N,Rutherford,2024,53,50-54,2007,17
ST07,52324.33,7365,Police Operations Coord 1,Police,Fulltime,Administrative support,M,White,1961,2007-08-01,N,Montgomery,2024,63,60-64,2007,17
ST07,45253.62,11213,Custodian-Health,Health,Fulltime,Service/Maintenance,F,Black,1963,2007-08-01,N,Davidson,2024,61,60-64,2007,17
SP01,15940.08,3445,School Crossing Guard,Police,Parttime,Protective service workers,F,Black,1966,2007-08-13,N,Montgomery,2024,58,55-59,2007,17
SP01,15940.08,3445,School Crossing Guard,Police,Parttime,Protective service workers,M,Black,1940,2007-08-16,N,Davidson,2024,84,80-84,2007,17
SP01,15940.08,3445,School Crossing Guard,Police,Parttime,Protective service workers,F,White,1969,2007-08-21,N,Davidson,2024,55,55-59,2007,17
OR05,84632.58,10758,Public Health Nurse 1,Health,Fulltime,Professionals,F,White,1958,2007-08-25,N,Sumner,2024,66,65-69,2007,17
ST10,70587.67,10961,Utility Engineer Tech Sr,Water Services,Fulltime,Technicians,F,White,1961,2007-08-25,N,Davidson,2024,63,60-64,2007,17
ST10,65015.7,10961,Utility Engineer Tech Sr,Water Services,Fulltime,Technicians,M,White,1982,2007-08-25,N,Davidson,2024,42,40-44,2007,17
CA09,145932.8,10634,Dir Of Technology-Conv Center,Convention Center Authority,Fulltime,Officials and administrators,M,White,1979,2007-08-31,Y,Davidson,2024,45,45-49,2007,17
PS05B,106766.1,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1979,2007-09-04,N,Rutherford,2024,45,45-49,2007,17
PS03A,86356.69,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1983,2007-09-04,N,Robertson,2024,41,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1984,2007-09-04,N,Wilson,2024,40,40-44,2007,17
ST11,73639.07,6686,Sheriff Warrant Officer 2,Sheriff,Fulltime,Protective service workers,M,White,1976,2007-09-16,N,Robertson,2024,48,45-49,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1981,2007-09-16,N,Williamson,2024,43,40-44,2007,17
OR05,71531.71,7245,Admin Svcs Officer 4,Law,Fulltime,Professionals,F,White,1973,2007-09-17,Y,Davidson,2024,51,50-54,2007,17
OR09,141373.68,6581,Insurance Div Mgr,Law,Fulltime,Officials and administrators,M,Black,1967,2007-09-21,Y,Rutherford,2024,57,55-59,2007,17
OR13,151406.02,6553,Parks & Recreation Asst Dir,Parks,Fulltime,Officials and administrators,M,White,1962,2007-09-21,Y,Davidson,2024,62,60-64,2007,17
NS,,9020,Seasonal/Part-time/Temporary,Parks,Pool,Service/Maintenance,F,Black,1978,2007-09-22,N,Davidson,2024,46,45-49,2007,17
TS16,84303.05,7803,Treatment Plant Shift Supv,Water Services,Fulltime,Skilled craft workers,M,White,1987,2007-09-24,Y,Robertson,2024,37,35-39,2007,17
SU01,74492.05,7365,Police Operations Coord 1,Police,Fulltime,Administrative support,M,Islander,1983,2007-10-01,N,Williamson,2024,41,40-44,2007,17
PS05B,94860.3,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1983,2007-10-01,N,Davidson,2024,41,40-44,2007,17
PS05B,100637.29,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1983,2007-10-01,N,Williamson,2024,41,40-44,2007,17
PS05B,97706.11,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1973,2007-10-01,N,Davidson,2024,51,50-54,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Two or more,1962,2007-10-01,N,Hickman,2024,62,60-64,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1985,2007-10-01,N,Davidson,2024,39,35-39,2007,17
PS05B,94860.3,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1985,2007-10-01,N,Wilson,2024,39,35-39,2007,17
NS,150000.0,1061,Chief Dpty Criminal Ct Clerk,Criminal Court Clerk,Fulltime,Officials and administrators,M,Black,1963,2007-10-01,Y,Wilson,2024,61,60-64,2007,17
PS06B,117247.35,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1978,2007-10-01,N,Wilson,2024,46,45-49,2007,17
PS07B,127094.4,956,Police Captain,Police,Fulltime,Professionals,M,White,1973,2007-10-01,Y,Hickman,2024,51,50-54,2007,17
SS01,42706.77,3447,School Crossing Guard Supv,Police,Parttime,Protective service workers,F,Black,1968,2007-10-01,N,Davidson,2024,56,55-59,2007,17
OR13,188712.84,7744,Info Systems Asst Dir,Information Technology Services,Fulltime,Officials and administrators,M,White,1969,2007-10-05,Y,Williamson,2024,55,55-59,2007,17
OR06,79333.42,7757,Technical Specialist 2,Parks,Fulltime,Professionals,M,White,1977,2007-10-08,Y,Davidson,2024,47,45-49,2007,17
OR08,106257.13,7234,Information Systems Advisor 1,Assessor of Property,Fulltime,Officials and administrators,M,White,1978,2007-10-08,Y,Davidson,2024,46,45-49,2007,17
ST08,52433.92,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,F,White,1972,2007-10-08,N,Davidson,2024,52,50-54,2007,17
ST11,65458.76,7720,Admin Spec,Historical Commission,Fulltime,Administrative support,M,White,1982,2007-10-08,N,Davidson,2024,42,40-44,2007,17
MAC05A,59019.47,10217,Custodian Leader,Metro Action Commission,Fulltime,Service/Maintenance,M,Black,1953,2007-10-08,N,Davidson,2024,71,70-74,2007,17
OR04,67376.14,7376,Program Mgr 1,Public Library,Fulltime,Professionals,F,Black,1975,2007-10-15,Y,Davidson,2024,49,45-49,2007,17
OR08,116872.22,10715,Crime Lab Business Mgr,Police,Fulltime,Professionals,F,White,1978,2007-10-15,Y,Sumner,2024,46,45-49,2007,17
TL09,53706.1,10972,Utility Maintenance Spec 1,Water Services,Fulltime,Technicians,M,White,1966,2007-10-20,N,Davidson,2024,58,55-59,2007,17
OR10,145099.11,6531,Human Resources Mgr,Water Services,Fulltime,Officials and administrators,M,Black,1966,2007-10-20,Y,Davidson,2024,58,55-59,2007,17
OR10,126682.59,10468,Environmental Lab Supt,Water Services,Fulltime,Officials and administrators,M,White,1976,2007-10-20,Y,Sumner,2024,48,45-49,2007,17
OR06,77777.85,10759,Public Health Nurse 2,Health,Fulltime,Professionals,F,White,1974,2007-10-29,Y,Davidson,2024,50,50-54,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1974,2007-11-01,N,Cheatham,2024,50,50-54,2007,17
NS,64464.96,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,M,White,1958,2007-11-01,N,Williamson,2024,66,65-69,2007,17
ST08,60144.59,10834,Customer Service Field Rep Sen,Water Services,Fulltime,Service/Maintenance,M,Black,1972,2007-11-03,N,Davidson,2024,52,50-54,2007,17
TL14,66451.53,7802,Treatment Plant Tech 3,Water Services,Fulltime,Skilled craft workers,M,White,1978,2007-11-03,N,Cheatham,2024,46,45-49,2007,17
OR08,113928.75,7346,Human Resources Admin,Water Services,Fulltime,Professionals,F,Black,1978,2007-11-05,Y,Davidson,2024,46,45-49,2007,17
OR07,102688.18,4855,Library Mgr 3,Public Library,Fulltime,Professionals,F,White,1979,2007-11-05,Y,Davidson,2024,45,45-49,2007,17
OR07,83234.68,6247,Parks & Recreation Supt,Parks,Fulltime,Officials and administrators,M,White,1982,2007-11-09,Y,Williamson,2024,42,40-44,2007,17
ST09,63906.71,6910,Mech/Gas Inspector 1,Codes Administration,Fulltime,Officials and administrators,M,White,1962,2007-11-12,N,Davidson,2024,62,60-64,2007,17
OR11,118055.93,7081,Codes Admin Asst Dir,Codes Administration,Fulltime,Officials and administrators,M,White,1971,2007-11-12,Y,Williamson,2024,53,50-54,2007,17
NS,84804.24,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,Asian,1971,2007-11-16,N,Davidson,2024,53,50-54,2007,17
OR04,66655.42,7779,Info Systems App Analyst 1,Public Library,Fulltime,Professionals,M,White,1980,2007-11-19,Y,Davidson,2024,44,40-44,2007,17
OR06,78497.82,11171,Accountant Senior,Finance,Fulltime,Professionals,F,Islander,1966,2007-11-19,Y,Davidson,2024,58,55-59,2007,17
ST08,50891.79,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,Black,1967,2007-11-19,N,Davidson,2024,57,55-59,2007,17
ST05,43998.95,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,White,1967,2007-11-19,N,Davidson,2024,57,55-59,2007,17
NS,,9020,Seasonal/Part-time/Temporary,Parks,Pool,Service/Maintenance,F,White,1953,2007-11-30,N,Davidson,2024,71,70-74,2007,17
ST07,50910.18,10969,Utility Field Tech 1,Water Services,Fulltime,Technicians,M,Black,1969,2007-12-01,N,Davidson,2024,55,55-59,2007,17
PS05B,103656.41,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1983,2007-12-01,N,Davidson,2024,41,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1985,2007-12-01,N,Robertson,2024,39,35-39,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Two or more,1980,2007-12-01,N,Wilson,2024,44,40-44,2007,17
OR07,103347.52,4855,Library Mgr 3,Public Library,Fulltime,Professionals,F,White,1976,2007-12-03,Y,Davidson,2024,48,45-49,2007,17
OR12,161660.68,10871,Assistant Metropolitan Atty 4,Law,Fulltime,Professionals,F,White,1969,2007-12-12,Y,Davidson,2024,55,55-59,2007,17
ST10,63158.39,10955,Utility Compliance Inp 2,Water Services,Fulltime,Technicians,M,White,1970,2007-12-15,N,Sumner,2024,54,50-54,2007,17
PS03A,86356.69,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1970,2007-12-16,N,Davidson,2024,54,50-54,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1984,2007-12-16,N,Rutherford,2024,40,40-44,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1973,2007-12-16,N,Sumner,2024,51,50-54,2007,17
OR01,51918.76,7243,Admin Svcs Officer 2,Juvenile Court Clerk,Fulltime,Professionals,F,Two or more,1965,2007-12-17,N,Davidson,2024,59,55-59,2007,17
OR12,167577.66,11304,Deputy Chief-DCSO,Sheriff,Fulltime,Officials and administrators,F,White,1975,2007-12-17,Y,Davidson,2024,49,45-49,2007,17
TS10,69057.91,11204,Water Services Maint Supv 1,Water Services,Fulltime,Technicians,M,White,1987,2007-12-29,Y,Sumner,2024,37,35-39,2007,17
TS16,86832.15,7786,Indust Maint Supv 2,Water Services,Fulltime,Technicians,M,White,1971,2007-12-29,Y,Cheatham,2024,53,50-54,2007,17
ST07,50910.18,10833,Customer Service Field Rep,Water Services,Fulltime,Service/Maintenance,M,Black,1969,2007-12-29,N,Davidson,2024,55,55-59,2007,17
MAC06A,52807.09,10801,Program Asst-HR-MAC,Metro Action Commission,Fulltime,Administrative support,F,Black,1980,2007-12-31,N,Rutherford,2024,44,40-44,2007,17
CO03,69548.92,6690,Correctional Officer Sergeant,Sheriff,Fulltime,Protective service workers,F,Black,1982,2008-01-01,N,Rutherford,2024,42,40-44,2008,16
OR06,76416.29,11321,Sheriff Facility Captain,Sheriff,Fulltime,Protective service workers,M,White,1984,2008-01-01,Y,Sumner,2024,40,40-44,2008,16
FD03A,61978.22,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1983,2008-01-01,N,Davidson,2024,41,40-44,2008,16
CO02,63158.39,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,White,1984,2008-01-01,N,Montgomery,2024,40,40-44,2008,16
CO02,63158.39,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,White,1983,2008-01-01,N,Montgomery,2024,41,40-44,2008,16
ST11,69548.92,10804,DCSO Instructor,Sheriff,Fulltime,Professionals,M,Black,1965,2008-01-01,Y,Rutherford,2024,59,55-59,2008,16
ST10,65015.7,11089,Sheriff Behavorial Care Supv,Sheriff,Fulltime,Protective service workers,M,White,1969,2008-01-01,N,Davidson,2024,55,55-59,2008,16
ST11,69548.92,6686,Sheriff Warrant Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1975,2008-01-01,N,Rutherford,2024,49,45-49,2008,16
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1977,2008-01-02,N,Williamson,2024,47,45-49,2008,16
ST07,52324.33,10123,Office Support Spec 1,Social Services,Fulltime,Administrative support,F,Black,1963,2008-01-02,N,Davidson,2024,61,60-64,2008,16
CA01,19585.28,10679,Ambassador 1 -MCC,Convention Center Authority,Parttime,Administrative support,F,White,1956,2008-01-07,N,Davidson,2024,68,65-69,2008,16
TS13,75282.48,6188,Treatment Plant Shift Operator,Water Services,Fulltime,Skilled craft workers,F,White,1962,2008-01-12,N,Robertson,2024,62,60-64,2008,16
OR09,121785.04,10888,Operations Manager,NDOT,Fulltime,Officials and administrators,M,White,1979,2008-01-14,Y,Wilson,2024,45,45-49,2008,16
PS07B,123392.62,956,Police Captain,Police,Fulltime,Professionals,M,White,1988,2008-01-16,N,Robertson,2024,36,35-39,2008,16
OR07,95390.51,11206,Water Services Asst Manager,Water Services,Fulltime,Professionals,M,White,1975,2008-01-19,Y,Cheatham,2024,49,45-49,2008,16
TS16,89437.11,7786,Indust Maint Supv 2,Water Services,Fulltime,Technicians,M,White,1962,2008-01-26,Y,Wilson,2024,62,60-64,2008,16
OR11,137640.21,7318,Info Systems Div Mgr,Information Technology Services,Fulltime,Officials and administrators,M,White,1976,2008-01-28,Y,Williamson,2024,48,45-49,2008,16
OR01,57243.51,7243,Admin Svcs Officer 2,Water Services,Fulltime,Professionals,M,White,1981,2008-01-29,N,Sumner,2024,43,40-44,2008,16
OR10,110666.09,7407,Information Systems Advisor 2,Information Technology Services,Fulltime,Officials and administrators,M,White,1983,2008-02-01,Y,Rutherford,2024,41,40-44,2008,16
PS05B,103656.41,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1984,2008-02-01,N,Maury,2024,40,40-44,2008,16
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1962,2008-02-01,N,Davidson,2024,62,60-64,2008,16
PS05B,94860.3,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1985,2008-02-01,N,Rutherford,2024,39,35-39,2008,16
PS06,104261.19,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1973,2008-02-04,N,Rutherford,2024,51,50-54,2008,16
NS,,9020,Seasonal/Part-time/Temporary,Parks,Pool,Service/Maintenance,M,White,1986,2008-02-08,N,Davidson,2024,38,35-39,2008,16
ST10,63158.39,10955,Utility Compliance Inp 2,Water Services,Fulltime,Technicians,M,Black,1979,2008-02-11,N,Rutherford,2024,45,45-49,2008,16
ST08,50891.79,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,M,White,1980,2008-02-11,N,Davidson,2024,44,40-44,2008,16
MAC11A,82379.74,10789,Early Childhood Ctr Mgr-MAC,Metro Action Commission,Fulltime,Professionals,F,Black,1983,2008-02-11,Y,Davidson,2024,41,40-44,2008,16
FD07A,90172.01,7305,Fire Captain,Fire,Fulltime,Professionals,M,Black,1985,2008-02-16,N,Rutherford,2024,39,35-39,2008,16
FD05,87394.81,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1974,2008-02-16,N,Wayne,2024,50,50-54,2008,16
FD05B,92638.51,7307,Fire Engineer,Fire,Fulltime,Technicians,M,Hispanic,1964,2008-02-16,N,Cheatham,2024,60,60-64,2008,16
FD07,95663.47,7305,Fire Captain,Fire,Fulltime,Professionals,M,Black,1965,2008-02-16,N,Davidson,2024,59,55-59,2008,16
FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1982,2008-02-16,N,Davidson,2024,42,40-44,2008,16
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1985,2008-02-16,N,Wilson,2024,39,35-39,2008,16
FD05,82377.99,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1985,2008-02-16,N,Cheatham,2024,39,35-39,2008,16
FD07A,98533.39,7305,Fire Captain,Fire,Fulltime,Professionals,M,Two or more,1964,2008-02-16,N,Cheatham,2024,60,60-64,2008,16
FD05,87394.81,7307,Fire Engineer,Fire,Fulltime,Technicians,M,Two or more,1980,2008-02-16,N,Clay,2024,44,40-44,2008,16
FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,F,White,1975,2008-02-16,N,Cheatham,2024,49,45-49,2008,16
FD05B,92638.51,7307,Fire Engineer,Fire,Fulltime,Technicians,M,Two or more,1982,2008-02-16,N,Davidson,2024,42,40-44,2008,16
FD09B,105840.37,1686,Fire District Chief,Fire,Fulltime,Professionals,M,Black,1981,2008-02-16,N,Davidson,2024,43,40-44,2008,16
FD07B,92798.38,7305,Fire Captain,Fire,Fulltime,Professionals,M,Black,1981,2008-02-16,N,Davidson,2024,43,40-44,2008,16
FD07B,95582.33,7305,Fire Captain,Fire,Fulltime,Professionals,F,Black,1983,2008-02-16,N,Wilson,2024,41,40-44,2008,16
FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1974,2008-02-16,N,Davidson,2024,50,50-54,2008,16
FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1981,2008-02-16,N,Sumner,2024,43,40-44,2008,16
FD07B,98449.8,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1981,2008-02-16,N,Sumner,2024,43,40-44,2008,16
FD05A,90016.67,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1985,2008-02-16,N,Robertson,2024,39,35-39,2008,16
FD05,84849.33,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1970,2008-02-16,N,Rutherford,2024,54,50-54,2008,16
FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1983,2008-02-16,N,Davidson,2024,41,40-44,2008,16
OR03,64784.75,7244,Admin Svcs Officer 3,Police,Fulltime,Professionals,F,Black,1984,2008-02-16,N,Davidson,2024,40,40-44,2008,16
FD07A,95663.49,7305,Fire Captain,Fire,Fulltime,Professionals,M,Two or more,1977,2008-02-16,N,Davidson,2024,47,45-49,2008,16
FD05A,92717.16,7307,Fire Engineer,Fire,Fulltime,Technicians,F,White,1980,2008-02-16,N,Williamson,2024,44,40-44,2008,16
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1979,2008-02-19,N,Wilson,2024,45,45-49,2008,16
PS05A,100722.74,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1980,2008-02-19,N,Williamson,2024,44,40-44,2008,16
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1968,2008-02-19,N,Williamson,2024,56,55-59,2008,16
PS05,89490.84,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1985,2008-02-19,N,Rutherford,2024,39,35-39,2008,16
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1983,2008-02-19,N,Davidson,2024,41,40-44,2008,16
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1980,2008-02-19,N,Robertson,2024,44,40-44,2008,16
PS05,89490.84,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1983,2008-02-19,N,Wilson,2024,41,40-44,2008,16
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1984,2008-02-19,N,Williamson,2024,40,40-44,2008,16
PS05B,94860.3,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1982,2008-02-19,N,Williamson,2024,42,40-44,2008,16
PS08,172967.74,7702,Police Commander,Police,Fulltime,Officials and administrators,M,Hispanic,1980,2008-02-19,Y,Rutherford,2024,44,40-44,2008,16
OR09,133960.07,10744,Health Manager 3,Health,Fulltime,Officials and administrators,F,White,1955,2008-02-19,Y,Davidson,2024,69,65-69,2008,16
PS03A,86356.69,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1969,2008-02-19,N,Davidson,2024,55,55-59,2008,16
OR08,116196.46,7295,Engineer 2,Water Services,Fulltime,Professionals,M,White,1971,2008-02-19,Y,Rutherford,2024,53,50-54,2008,16
